TransactionID,isFraud
3663549,0.0023948948
3663550,0.003718169
3663551,0.036717113
3663552,0.006230308
3663553,0.0017803193
3663554,0.0022300761
3663555,0.010131129
3663556,0.0049442663
3663557,0.0020219637
3663558,0.006950068
3663559,0.0017346389
3663560,0.0015650495
3663561,0.0061866217
3663562,0.0024204727
3663563,0.0031380083
3663564,0.0012152125
3663565,0.0028684349
3663566,0.0029427386
3663567,0.0015477814
3663568,0.006165441
3663569,0.021074958
3663570,0.0023578934
3663571,0.0027788891
3663572,0.003359398
3663573,0.0031469858
3663574,0.0039240927
3663575,0.0019529865
3663576,0.013432324
3663577,0.004689412
3663578,0.0018159325
3663579,0.006698731
3663580,0.0037620866
3663581,0.0051072054
3663582,0.015035002
3663583,0.0031952779
3663584,0.0035205968
3663585,0.00362918
3663586,0.013738882
3663587,0.017464899
3663588,0.00876451
3663589,0.009713947
3663590,0.0006749643
3663591,0.005102507
3663592,0.00923813
3663593,0.00415473
3663594,0.010549762
3663595,0.0056147864
3663596,0.00124946
3663597,0.0037072264
3663598,0.022683604
3663599,0.0005530326
3663600,0.0048948936
3663601,0.016880551
3663602,0.20128566
3663603,0.006004037
3663604,0.0065041804
3663605,0.010679017
3663606,0.007736281
3663607,0.017493209
3663608,0.0048262943
3663609,0.0020215223
3663610,0.0028150291
3663611,0.0014092615
3663612,0.002332438
3663613,0.016171927
3663614,0.0029325904
3663615,0.0037417517
3663616,0.0038955829
3663617,0.0013094953
3663618,0.000774147
3663619,0.00109193
3663620,0.01216295
3663621,0.0027182242
3663622,0.004509519
3663623,0.0016405181
3663624,0.005723475
3663625,0.0005864679
3663626,0.007692443
3663627,0.0030182537
3663628,0.0050135255
3663629,0.004687152
3663630,0.001673765
3663631,0.0025694463
3663632,0.0009964643
3663633,0.0016185042
3663634,0.020178478
3663635,0.006283006
3663636,0.039901678
3663637,0.01333268
3663638,0.0034976583
3663639,0.0045837206
3663640,0.0054489444
3663641,0.003882678
3663642,0.002210874
3663643,0.006659086
3663644,0.0011438363
3663645,0.0027431767
3663646,0.042164564
3663647,0.012348143
3663648,0.0033858952
3663649,0.0045678285
3663650,0.037364755
3663651,0.0009436916
3663652,0.0063390327
3663653,0.0009268593
3663654,0.004055372
3663655,0.082256
3663656,0.0010524081
3663657,0.0019900552
3663658,0.0033249755
3663659,0.0038435624
3663660,0.00313186
3663661,0.0058037755
3663662,0.008138308
3663663,0.005275025
3663664,0.0017687298
3663665,0.003568006
3663666,0.0055317194
3663667,0.0045625805
3663668,0.0068585174
3663669,0.013898379
3663670,0.005269883
3663671,0.0024072325
3663672,0.005739548
3663673,0.019980414
3663674,0.007955892
3663675,0.0005991794
3663676,0.0018424209
3663677,0.001727036
3663678,0.004037719
3663679,0.003489486
3663680,0.0023199078
3663681,0.0006698862
3663682,0.0075610653
3663683,0.0044343523
3663684,0.003853908
3663685,0.006939719
3663686,0.0009068871
3663687,0.0036186376
3663688,0.003309988
3663689,0.0020144007
3663690,0.008779573
3663691,0.002284287
3663692,0.0018366091
3663693,0.006717925
3663694,0.002054164
3663695,0.0038268827
3663696,0.013373168
3663697,0.0018302483
3663698,0.004061264
3663699,0.0334513
3663700,0.0064462973
3663701,0.008257168
3663702,0.005615551
3663703,0.006561025
3663704,0.10663112
3663705,0.2393601
3663706,0.0028583435
3663707,0.0021565577
3663708,0.0031187779
3663709,0.018254047
3663710,0.010626281
3663711,0.0046811113
3663712,0.010452318
3663713,0.058618426
3663714,0.010244637
3663715,0.00380912
3663716,0.016779361
3663717,0.0032579962
3663718,0.0022794595
3663719,0.062061846
3663720,0.0011832155
3663721,0.038116556
3663722,0.0036926004
3663723,0.05484778
3663724,0.00056545757
3663725,0.003660389
3663726,0.012198924
3663727,0.0017073243
3663728,0.007728547
3663729,0.018079275
3663730,0.0079284655
3663731,0.004127095
3663732,0.0013003877
3663733,0.013195996
3663734,0.0024211856
3663735,0.02132306
3663736,0.006521588
3663737,0.0038806703
3663738,0.0011766164
3663739,0.0017868995
3663740,0.0020839553
3663741,0.032510377
3663742,0.0018512063
3663743,0.004424455
3663744,0.008439591
3663745,0.011854562
3663746,0.008917602
3663747,0.0029138376
3663748,0.00041639546
3663749,0.0064905416
3663750,0.0018756543
3663751,0.0018729548
3663752,0.005540724
3663753,0.0041087978
3663754,0.018177127
3663755,0.019094113
3663756,0.006963347
3663757,0.0089115305
3663758,0.006177684
3663759,0.011618633
3663760,0.0020363561
3663761,0.011881851
3663762,0.0021389755
3663763,0.0057032076
3663764,0.0019006821
3663765,0.00070545834
3663766,0.0034741242
3663767,0.006590146
3663768,0.0023502626
3663769,0.25334904
3663770,0.00081369566
3663771,0.0029308342
3663772,0.0038062222
3663773,0.543912
3663774,0.00621213
3663775,0.004612369
3663776,0.0013163628
3663777,0.0014090234
3663778,0.6260761
3663779,0.006247171
3663780,0.57685447
3663781,0.0021318165
3663782,0.0017367061
3663783,0.0129229175
3663784,0.004142363
3663785,0.0037931795
